# Red Alert MIX Filename Database
# Sources: OpenRA, ccmixar, RA95.EXE strings
# Total entries: 4839
# Format: HASH<tab>FILENAME
#
0xa791a9b6	10MINR.AUD
0xc56725af	120MM.SHP
0xa60da195	12GREEN.FNT
0x260f9d8f	12GRNGRD.FNT
0x121f9b9b	12METFNT.FNT
0xe3a791ad	1MINR.AUD
0xd007088d	1OBJMET1.AUD
0xe9e1ec90	1TNK.DES
0xe6e4fb90	1TNK.SHP
0x1a202a85	1TNKICON.SHP
0xa791a9ba	20MINR.AUD
0x95ac0a98	2DANGR1.AUD
0xe3a791b1	2MINR.AUD
0x4a02fc86	2ND_HAND.AUD
0xd0070891	2OBJMET1.AUD
0xe9e1ec92	2TNK.DES
0xe6e4fb92	2TNK.SHP
0x1a202a89	2TNKICON.SHP
0xa791a9be	30MINR.AUD
0xe3a791b5	3MINR.AUD
0xd0070895	3OBJMET1.AUD
0xb19a3db7	3POINT.FNT
0xe9e1ec94	3TNK.DES
0xe6e4fb94	3TNK.SHP
0x1a202a8d	3TNKICON.SHP
0xa791a9c2	40MINR.AUD
0xe3a791b9	4MINR.AUD
0xe9e1ec96	4TNK.DES
0xe6e4fb96	4TNK.SHP
0x1a202a91	4TNKICON.SHP
0x95b31dbd	50CAL.SHP
0xe3a791bd	5MINR.AUD
0x9c8c5cc0	6.FNT
0xb19a3dc3	6POINT.FNT
0x3ff66673	80MX226M.AUD
0xfcd0d29e	8FAT.FNT
0xb19a3dcb	8POINT.FNT
0x5cb0aad5	A10.SHP
0x81a4a6cf	A10ICNH.DES
0x819ea6df	A10ICNH.TEM
0x819faae2	A10ICNH.WIN
0x81adabde	A10ICON.SHP
0xaffee4cf	AACANON3.AUD
0xf7c961e2	AAGUN.VQA
0xf7c961f1	AAGUN.VQP
0x9de7f8ea	AAPPRO1.AUD
0x81efe4f2	AARIVE1.AUD
0xf028f2c5	AARRIVE1.AUD
0xf03af2c5	AARRIVN1.AUD
0xf044f2c5	AARRIVS1.AUD
0xf04cf2c5	AARRIVW1.AUD
0x61fff2d8	AAVAIL1.AUD
0xb822dcc1	ABLDGIN1.AUD
0xbf69b3f4	ACCOM1.AUD
0x99d169d3	ACKNO.R00
0x99d169d4	ACKNO.R01
0x99d169d5	ACKNO.R02
0x99d169d6	ACKNO.R03
0x99d969d3	ACKNO.V00
0x99d969d4	ACKNO.V01
0x99d969d5	ACKNO.V02
0x99d969d6	ACKNO.V03
0xaba5e7f5	ACRATE.SHP
0x53c3b933	ACTOR-1TNK.DES
0x53c7b933	ACTOR-2TNK.DES
0x53cbb933	ACTOR-3TNK.DES
0x53cfb933	ACTOR-4TNK.DES
0x1c03ab2f	ACTOR-AFLD.DES
0x2003bf41	ACTOR-AGUN.DES
0x3e2f2c4d	ACTOR-ANT.DES
0x462f2c2b	ACTOR-APC.DES
0x4403c745	ACTOR-APWR.DES
0x4c03d53f	ACTOR-ARTY.DES
0x5403af21	ACTOR-ATEF.DES
0x5403b921	ACTOR-ATEK.DES
0x0807c73b	ACTOR-BARR.DES
0x4c07b929	ACTOR-BRIK.DES
0x131cabd7	ACTOR-CA.DES
0x540bb933	ACTOR-CTNK.DES
0x191eabd7	ACTOR-DD.DES
0x423b2c33	ACTOR-DOG.DES
0x400fad31	ACTOR-DOME.DES
0x400faf31	ACTOR-DOMF.DES
0x540fb93b	ACTOR-DTRK.DES
0xf320abd7	ACTOR-E1.DES
0xf520abd7	ACTOR-E2.DES
0xf720abd7	ACTOR-E3.DES
0xf920abd7	ACTOR-E4.DES
0xfd20abd7	ACTOR-E6.DES
0xff20abd7	ACTOR-E7.DES
0x0817af1d	ACTOR-FACF.DES
0x0817cb1d	ACTOR-FACT.DES
0x0817d137	ACTOR-FAPW.DES
0x1817a933	ACTOR-FENC.DES
0x2a432c55	ACTOR-FIX.DES
0x2817af47	ACTOR-FIXF.DES
0x4417c745	ACTOR-FPWR.DES
0x5417b93b	ACTOR-FTRK.DES
0x5417c741	ACTOR-FTUR.DES
0x0a472c45	ACTOR-GAP.DES
0x5a472c41	ACTOR-GUN.DES
0x081fcf3b	ACTOR-HARV.DES
0x0c1fd335	ACTOR-HBOX.DES
0x181fb52f	ACTOR-HELI.DES
0x281fab33	ACTOR-HIND.DES
0x441fab19	ACTOR-HPAD.DES
0x4c23bf35	ACTOR-IRON.DES
0x1827c321	ACTOR-JEEP.DES
0x182bbf33	ACTOR-KENN.DES
0x525b2c4d	ACTOR-LST.DES
0x125f2c51	ACTOR-MCV.DES
0x1833b31d	ACTOR-MECH.DES
0x1833b51f	ACTOR-MEDI.DES
0x225f2c33	ACTOR-MGG.DES
0x24338303	ACTOR-MH60.DES
0x2a5f2c33	ACTOR-MIG.DES
0xfcd6c133	ACTOR-MINVV.DES
0x3c33d52f	ACTOR-MNLY.DES
0x4e5f2c39	ACTOR-MRJ.DES
0x5033af2f	ACTOR-MSLF.DES
0x5033c12f	ACTOR-MSLO.DES
0x5033a741	ACTOR-MSUB.DES
0x0c3fd335	ACTOR-PBOX.DES
0x143faf35	ACTOR-PDOF.DES
0x143fd335	ACTOR-PDOX.DES
0x6d9f1964	ACTOR-POWERPROXY-PARABOMBS.DES
0xae3a6d6c	ACTOR-POWERPROXY-PARATROOPERS.DES
0x42946377	ACTOR-POWERPROXY-SONARPULSE.DES
0x403fc745	ACTOR-POWR.DES
0x4c3fa935	ACTOR-PROC.DES
0x3936abd7	ACTOR-PT.DES
0x5443b933	ACTOR-QTNK.DES
0x0a772c3f	ACTOR-SAM.DES
0x0c4bb119	ACTOR-SBAG.DES
0x244bb935	ACTOR-SHOK.DES
0x284bc12f	ACTOR-SILO.DES
0xabbeb412	ACTOR-SNIPER.DES
0x444baf21	ACTOR-SPEF.DES
0x444bbf21	ACTOR-SPEN.DES
0x46772c57	ACTOR-SPY.DES
0x373cabd7	ACTOR-SS.DES
0x544bb921	ACTOR-STEK.DES
0x544bb933	ACTOR-STNK.DES
0x684bab3b	ACTOR-SYRD.DES
0x684baf3b	ACTOR-SYRF.DES
0x184faf33	ACTOR-TENF.DES
0x184fcb33	ACTOR-TENT.DES
0x267b2c31	ACTOR-THF.DES
0x4c4fbf19	ACTOR-TRAN.DES
0x4c4fb941	ACTOR-TRUK.DES
0x504fa52f	ACTOR-TSLA.DES
0x544fb933	ACTOR-TTNK.DES
0xcc57bb3c	ACTOR-V2RL.DES
0x185baf19	ACTOR-WEAF.DES
0x185bc319	ACTOR-WEAP.DES
0x0a8f2c3b	ACTOR-YAK.DES
0x95e2981a	ACTOR-ZOMBIE.DES
0xd7f6e4cb	AFALLEN1.AUD
0x81abe3fb	AFFIRM1.R00
0x81ace3fb	AFFIRM1.R01
0x81ade3fb	AFFIRM1.R02
0x81aee3fb	AFFIRM1.R03
0x81abe3ff	AFFIRM1.V00
0x81ace3ff	AFFIRM1.V01
0x81ade3ff	AFFIRM1.V02
0x81aee3ff	AFFIRM1.V03
0xd8e0dfb0	AFLD.SHP
0xf512e3c5	AFLDICNH.DES
0xef12f3c5	AFLDICNH.TEM
0xf016f6c5	AFLDICNH.WIN
0xfe17f2c5	AFLDICON.SHP
0xec11f4c5	AFLDIDLE.SHP
0xec0feecd	AFLDMAKE.SHP
0xd3a5dcde	AFRICA.WSA
0x2347e4cd	AFTRMATH.INI
0x1b4af1cd	AFTRMATH.VQA
0x2a4af1cd	AFTRMATH.VQP
0xa63bed13	AFTR_HI.PCX
0xa6430206	AFTR_LO.CPS
